Date,PnL Points,Lot Size,Pnl
05-04-2017,-24.9488,25,-623.72
06-04-2017,-86.0654344,25,-2151.64
11-04-2017,10.7822,25,269.56
17-04-2017,-60.1828,25,-1504.57
18-04-2017,-87.4015128,25,-2185.04
21-04-2017,-85.8248368,25,-2145.62
24-04-2017,38.1016,25,952.54
26-04-2017,79.8858,25,1997.14
04-05-2017,88.9,25,2222.50
10-05-2017,-25.9578,25,-648.95
11-05-2017,-91.920304,25,-2298.01
12-05-2017,3.4428,25,86.07
16-05-2017,-1.3376,25,-33.44
18-05-2017,-91.3196,25,-2282.99
19-05-2017,-91.3850624,25,-2284.63
25-05-2017,483.4524,25,12086.31
01-06-2017,-92.7959128,25,-2319.90
05-06-2017,-23.986,25,-599.65
06-06-2017,-26.5,25,-662.50
12-06-2017,29.4226,25,735.57
15-06-2017,-44.1176,25,-1102.94
19-06-2017,164.3,25,4107.50
22-06-2017,-95.261592,25,-2381.54
23-06-2017,-94.175256,25,-2354.38
27-06-2017,56.8394,25,1420.99
29-06-2017,-93.8288568,25,-2345.72
05-07-2017,-93.6337,25,-2340.84
06-07-2017,-94.26494,25,-2356.62
10-07-2017,63.8,25,1595.00
13-07-2017,-34.4856,25,-862.14
21-07-2017,-96.4155528,25,-2410.39
25-07-2017,-60.9,25,-1522.50
27-07-2017,-9.2672,25,-231.68
31-07-2017,29.7142,25,742.86
02-08-2017,-100.4001432,25,-2510.00
03-08-2017,9.0052,25,225.13
08-08-2017,239.8094,25,5995.23
10-08-2017,-20.0636,25,-501.59
16-08-2017,-96.0262744,25,-2400.66
18-08-2017,-95.902812,25,-2397.57
23-08-2017,46.9654,25,1174.14
29-08-2017,124.2,25,3105.00
30-08-2017,-15.1,25,-377.50
01-09-2017,18.0964,25,452.41
04-09-2017,-25.0354,25,-625.89
06-09-2017,36.2,25,905.00
11-09-2017,142.4,25,3560.00
13-09-2017,-92.4864,25,-2312.16
18-09-2017,1.8,25,45.00
21-09-2017,88.4418,25,2211.05
22-09-2017,111.2302,25,2780.75
27-09-2017,203.1796,25,5079.49
03-10-2017,-30,25,-750.00
11-10-2017,-97.8164,25,-2445.41
13-10-2017,12.4376,25,310.94
18-10-2017,60,25,1500.00
23-10-2017,-95.708,25,-2392.70
25-10-2017,-98.2452,25,-2456.13
01-11-2017,153.9,25,3847.50
03-11-2017,33.239,25,830.98
07-11-2017,64.6874,25,1617.19
10-11-2017,-102.5853792,25,-2564.63
